panel,weight
panel_magicdesktop*panel_mcafee-emea,14
panel_magicdesktop*panel_lockscreen3,81
panel_3DPrintCOVID*panel_expressVPN,3
panel_sprocket*panel_carepack-dt-opp,27
panel_socialmedia*panel_shortcuts,1636
panel_audio-switch3*panel_CCbestpractices,34
panel_magicdesktop*panel_couponpage-smb_us,1
panel_office2019*panel_WFHTipsCorona,41
panel_buyoneplantone*panel_carepack-nb-mid,2
panel_CCbestpractices*panel_office-try-buy,139
panel_utomik*panel_pinapps3,34
panel_microsoftedge-commercial*panel_darkmode,1
panel_startmenu2*panel_webbrowser3,14
panel_audio-switch3*panel_webbrowser2,2309
panel_darkmode*panel_startmenu3,160
panel_office-mobile*panel_carepack-dt-opp,55
panel_photos*panel_action-center,1565
panel_shortcuts*panel_pinapps2,1479
panel_mcafee-na*panel_mcafee-na,64
panel_wi-fi*panel_carepack-nb-mid,322
office365a*office365a,1
panel_personalizebg3*panel_mcafee-emea,260
panel_lockscreen3*panel_wi-fi,3188
panel_startmenu2*panel_audio-switch3,2526
panel_darkmode*panel_gaming-expressVPN,1
panel_mcafee-na*panel_batterysaver,26
panel_carepack-dt-mid*panel_audio-switch3,7
panel_tile*panel_carepack-nb-elite,11
panel_instant-ink*panel_carepack-dt-mid,13
panel_office2019*panel_startmenu2,2184
panel_office-try-buy*panel_lockscreen3,5808
panel_webbrowser2*panel_lockscreen3,3259
panel_action-center*panel_pinapps3,156
panel_tile*panel_WFHTipsCorona,49
panel_office-security*panel_3DPrintCOVID,50
panel_carepack-dt-low*panel_lockscreen3,29
panel_quickaccess2*panel_lastpass,1
panel_couponpage_cons*panel_multi-icon-test,1
panel_utomik*panel_updateprofile2,340
panel_updateprofile3*panel_pinapps3,157
wkwphotos1*socialmedia,2
panel_office2019*panel_darkmode,163
panel_office-mobile*panel_multi-video-test,1
panel_carepack-dt-mid*panel_office2019,5
panel_startmenu2*panel_nightlight,6
panel_amazon-assistant*panel_carepack-nb-elite,32
panel_mcafee-emea*panel_webbrowser3,43
panel_batterysaver*panel_WFHTipsCorona,34
panel_HPprintCOVID*panel_GeneralAccessories,28
panel_mcafee-emea*panel_wi-fi,285
panel_carepack-nb-mid*panel_webbrowser2,95
panel_HPfolding*panel_office-mobile,29
panel_office-try-buy*panel_pinapps3,415
panel_photos*panel_HPrefresh,41
panel_GeneralAccessories*panel_couponpage-smb_us,1
panel_updateprofile3*panel_setup-email4,154
panel_updateprofile2*panel_sprocket,356
panel_pinapps3*panel_office-try-buy,429
panel_GeneralAccessories*panel_3DPrintCOVID,30
panel_personalizebg3*panel_HPrefresh,40
panel_tile*panel_socialmedia,313
panel_expressVPN*panel_startmenu3,6
panel_WFHTipsCorona*panel_darkmode,29
panel_wi-fi*panel_personalizebg3,3492
panel_magicdesktop*panel_expressVPN,6
panel_startmenu2*panel_office-mobile,915
panel_carepack-dt-opp*panel_startmenu2,22
panel_carepack-dt-mid*panel_HPprintCOVID,1
panel_personalizebg3*panel_photos,2514
panel_tile*panel_batterysaver,65
panel_tile*panel_HPprintCOVID,48
personalizebg3*couponpage_us4,2
panel_carepack-dt-low*panel_mcafee-na,15
panel_office-mobile*panel_WFHPCSecurityCorona,37
panel_lockscreen3*panel_office365a,559
panel_HPrefresh*panel_wi-fi,32
panel_lockscreen3*panel_batterysaver,130
panel_parentalcontrols*panel_lastpass,13
panel_personalizebg3*panel_hpsa3,3245
panel_webbrowser2*panel_hpsa2,7
panel_pinapps3*panel_darkmode,157
panel_buyoneplantone*panel_socialmedia,9
panel_gaming-lastpass*panel_utomik,20
panel_carepack-nb-high*panel_hpsa3,98
panel_carepack-nb-high*panel_setup-email4,89
panel_webbrowser2*panel_quickaccess2,1121
panel_gaming-expressVPN*panel_personalizebg3,20
panel_instant-ink*panel_office2019,405
panel_office2019*panel_shortcuts,1736
panel_startmenu3*panel_photos,147
panel_utomik*panel_HPrefresh,48
panel_hp-reinventing-classrooms*panel_office-try-buy,1255
panel_webbrowser2*panel_lockscreen2,13
panel_couponpage_us4*panel_buyoneplantone,7
panel_HPrefresh*panel_carepack-nb-low,17
panel_action-center*panel_carepack-nb-elite,40
panel_expressVPN*panel_batterysaver,9
panel_lockscreen3*panel_test-amazon,1
panel_carepack-nb-high*panel_WFHPCSecurityCorona,5
panel_lastpass*panel_tile,9
panel_wi-fi*panel_sprocket,400
panel_office-mobile*panel_hp-reinventing-classrooms,359
panel_batterysaver*panel_wi-fi,88
panel_mcafee-emea*panel_WFHPCSecurityCorona,3
panel_3DPrintCOVID*panel_setup-email4,39
panel_mcafee-na*panel_lastpass,7
panel_webbrowser3*panel_action-center,132
panel_mcafee-emea*panel_startmenu3,34
panel_utomik*panel_lockscreen3,416
panel_carepack-dt-opp*panel_nightlight,1
panel_expressVPN*panel_darkmode,8
panel_quickaccess2*panel_office360,7
panel_pinapps2*panel_updateprofile3,12
panel_webbrowser3*panel_parentalcontrols,135
panel_HPfolding*panel_carepack-nb-elite,1
panel_setup-email4*panel_WFHPCSecurityCorona,44
panel_nightlight*panel_utomik,24
panel_hpsa3*panel_pinapps2,2791
panel_lastpass*panel_CCbestpractices,7
panel_WFHTipsCorona*panel_CCbestpractices,130
panel_photos*panel_socialmedia,2698
panel_utomik*panel_lastpass,12
panel_carepack-nb-elite*panel_quickaccess2,4
panel_couponpage_cons*panel_office-mobile,36
panel_hpsa3*panel_carepack-nb-low,162
panel_parentalcontrols*panel_carepack-dt-mid,2
panel_webbrowser3*panel_themes,122
panel_sprocket*panel_setup-email4,411
panel_hpsa2*panel_webbrowser2,6
panel_utomik*panel_amazon-assistant,200
panel_lastpass*panel_carepack-nb-emea,3
panel_wi-fi*panel_themes,124
panel_updateprofile3*panel_startmenu2,9
panel_wi-fi*panel_hp-reinventing-classrooms,369
panel_action-center*panel_socialmedia,1550
panel_office-try-buy*panel_carepack-dt-mid,56
panel_personalizebg3*panel_HPfolding,48
panel_office2019*panel_parentalcontrols,130
panel_startmenu3*panel_sprocket,34
panel_wi-fi*panel_carepack-dt-mid,15
panel_updateprofile3*panel_office-security,156
panel_batterysaver*panel_lockscreen3,135
panel_carepack-nb-mid*panel_amazon-assistant,63
panel_CCbestpractices*panel_audio-switch3,40
panel_updateprofile3*panel_magicdesktop,77
panel_CCbestpractices*panel_HPrefresh,180
panel_omencc-network-boost*panel_CCbestpractices,2
panel_nightlight*panel_office-security,154
panel_audio-switch3*panel_HPprintCOVID,38
panel_office2019*panel_office-mobile,713
panel_lockscreen3*panel_carepack-dt-low,64
panel_lockscreen2*panel_hpsa2,3295
panel_shortcuts*panel_3DPrintCOVID,46
panel_HPprintCOVID*panel_office2019,43
panel_nightlight*panel_multi-video-test,1
panel_sprocket*panel_expressVPN,17
panel_darkmode*panel_carepack-dt-opp,3
panel_pinapps2*panel_amazon-assistant,507
panel_carepack-dt-low*panel_tile,9
panel_quickaccess2*panel_personalizebg3,1432
panel_carepack-dt-opp*panel_HPfolding,3
panel_amazon-assistant*panel_lastpass,7
panel_office2019*panel_HPfolding,35
panel_carepack-dt-low*panel_couponpage_cons,1
panel_office-security*panel_digitalpen,12
panel_themes*panel_startmenu3,131
panel_socialmedia*panel_parentalcontrols,142
panel_carepack-nb-mid*panel_magicdesktop,14
audio-switch3*wi-fi,1
panel_couponpage_cons*panel_pinapps3,27
panel_buyoneplantone*panel_shortcuts,8
panel_pinapps3*panel_nightlight,144
panel_webbrowser3*panel_mcafee-na,35
panel_personalizebg3*panel_wi-fi,3104
panel_hp-reinventing-classrooms*panel_couponpage-smb_us,1
panel_carepack-nb-mid*panel_WFHTipsCorona,11
panel_expressVPN*panel_WFHTipsCorona,6
panel_WFHPCSecurityCorona*panel_WFHPCSecurityCorona,13
panel_omen-mouse-mousepad*panel_omendisplay,1
panel_audio-switch*panel_hpsa3,1
panel_webbrowser2*panel_lastpass,14
panel_carepack-nb-emea*panel_office2019,327
panel_office-mobile*panel_HPrefresh,36
panel_omencc-network-boost*panel_couponpage_cons,2
panel_office-try-buy*panel_test-amazon,1
panel_personalizebg2*panel_pinapps2,4533
panel_photos*panel_carepack-nb-emea,320
panel_mcafee-na*panel_startmenu3,38
panel_updateprofile2*panel_carepack-dt-mid,25
panel_utomik*panel_utomik,65
panel_carepack-nb-high*panel_multi-icon-test,1
panel_digitalpen*panel_startmenu2,8
panel_couponpage_cons*panel_nightlight,38
panel_carepack-nb-high*panel_CCbestpractices,3
panel_magicdesktop*panel_personalizebg3,76
panel_startmenu2*panel_carepack-nb-low,146
panel_office-security*panel_carepack-dt-low,54
panel_personalizebg3*panel_couponpage_us4,961
panel_GeneralAccessories*panel_darkmode,37
panel_office365a*panel_hpsa3,961
panel_buyoneplantone*panel_action-center,8
panel_setup-email4*panel_carepack-nb-mid,362
panel_pinapps3*panel_photos,125
panel_carepack-nb-elite*panel_themes,1
panel_wi-fi*panel_wi-fi,514
panel_carepack-dt-opp*panel_HPrefresh,1
panel_HPprintCOVID*panel_carepack-nb-emea,2
personalizebg3*care-pack-nb-high3,2
panel_nightlight*panel_lockscreen3,156
panel_carepack-nb-elite*panel_magicdesktop,2
audio-switch3*office2019-us,2
panel_action-center*panel_webbrowser2,1496
panel_hp-reinventing-classrooms*panel_webbrowser2,347
panel_GeneralAccessories*panel_hp-reinventing-classrooms,355
panel_office-mobile*panel_GeneralAccessories,389
panel_expressVPN*panel_action-center,21
panel_lockscreen2*panel_lockscreen2,587
panel_office-try-buy*panel_amazon-assistant,1496
panel_hpsa3*panel_shortcuts,1667
panel_office2019*panel_themes,119
panel_audio-switch*panel_audio-switch,429
panel_digitalpen*panel_WFHPCSecurityCorona,4
panel_office365a*panel_personalizebg3,1196
panel_office-try-buy*panel_darkmode,513
panel_hpsa3*panel_buyoneplantone,7
panel_HPrefresh*panel_HPprintCOVID,182
panel_magicdesktop*panel_carepack-nb-high,6
panel_updateprofile3*panel_omencc-network-boost,18
panel_gaming-lastpass*panel_action-center,17
panel_gaming-lastpass*panel_carepack-dt-low,2
panel_lockscreen3*panel_couponpage_cons,32
panel_expressVPN*panel_GeneralAccessories,15
panel_shortcuts*panel_updateprofile2,1460
panel_hpsa3*panel_office2019,2263
panel_hp-reinventing-classrooms*panel_WFHTipsCorona,30
hpsa3*office365a,1
panel_socialmedia*panel_WFHPCSecurityCorona,37
panel_setup-email4*panel_updateprofile3,168
panel_omencc-network-boost*panel_office-try-buy,539
panel_carepack-nb-high*panel_webbrowser2,74
panel_lockscreen3*panel_mcafee-na,434
panel_expressVPN*panel_amazon-assistant,4
panel_sprocket*panel_HPrefresh,32
panel_lockscreen3*panel_carepack-nb-emea,345
panel_action-center*panel_WFHTipsCorona,46
panel_hpsa3*panel_carepack-nb-emea,353
panel_updateprofile3*panel_updateprofile3,38
panel_GeneralAccessories*panel_wi-fi,378
panel_startmenu3*panel_darkmode,160
panel_webbrowser2*panel_carepack-nb-mid,309
panel_HPprintCOVID*panel_HPfolding,160
panel_office365*panel_pinapps2,1084
panel_office-try-buy*panel_audio-switch3,5055
panel_darkmode*panel_pinapps3,153
panel_tile*panel_amazon-assistant,124
panel_startmenu2*panel_quickaccess2,1143
panel_digitalpen*panel_action-center,18
panel_hp-reinventing-classrooms*panel_carepack-dt-low,24
panel_digitalpen*panel_HPfolding,8
panel_parentalcontrols*panel_digitalpen,11
panel_pinapps3*panel_gaming-expressVPN,1
panel_amazon-assistant*panel_updateprofile3,31
panel_lastpass*panel_audio-switch3,25
panel_carepack-dt-low*panel_hpsa3,20
panel_mcafee-na*panel_office-mobile,376
panel_audio-switch3*panel_office-try-buy,4589
panel_office2019*panel_tile,355
panel_GeneralAccessories*panel_shortcuts,370
panel_digitalpen*panel_office-mobile,10
panel_pinapps2*panel_setup-email4,3067
panel_shortcuts*panel_WFHTipsCorona,49
panel_office365a*panel_setup-email4,1016
panel_carepack-dt-mid*panel_office-security,10
panel_startmenu2*panel_carepack-nb-elite,140
panel_carepack-nb-elite*panel_setup-email4,32
panel_office-mobile*panel_action-center,546
panel_pinapps3*panel_hpsa3,151
panel_utomik*panel_carepack-dt-opp,22
panel_batterysaver*panel_office2019,91
panel_quickaccess2*panel_amazon-assistant,72
panel_startmenu3*panel_office2019,145
panel_instant-ink*panel_photos,383
panel_WFHPCSecurityCorona*panel_office-security,40
care-pack-nb-high3*couponpage_us4,2
panel_carepack-nb-mid*panel_sprocket,89
panel_HPrefresh*panel_magicdesktop,46
panel_carepack-nb-high*panel_pinapps2,76
panel_pinapps2*panel_carepack-nb-high,317
panel_amazon-assistant*panel_carepack-nb-high,92
panel_themes*panel_carepack-nb-emea,22
panel_gaming-expressVPN*panel_office-mobile,9
panel_updateprofile2*panel_pinapps2,7524
panel_lockscreen2*panel_personalizebg2,2857
panel_carepack-nb-high*panel_shortcuts,74
panel_updateprofile2*panel_mcafee-na,380
panel_CCbestpractices*panel_socialmedia,24
panel_HPrefresh*panel_digitalpen,8
panel_utomik*panel_HPprintCOVID,34
panel_digitalpen*panel_tile,10
panel_GeneralAccessories*panel_HPprintCOVID,29
panel_GeneralAccessories*panel_nightlight,37
panel_lockscreen2*panel_office360,1913
panel_updateprofile2*panel_utomik,347
panel_GeneralAccessories*panel_instant-ink,412
panel_tile*panel_webbrowser2,268
panel_tile*panel_lockscreen3,338
panel_setup-email4*panel_office2019,2452
panel_quickaccess2*panel_photos,629
panel_utomik*panel_audio-switch3,361
panel_socialmedia*panel_gaming-expressVPN,16
panel_photos*panel_themes,132
panel_webbrowser2*panel_office360,7
panel_batterysaver*panel_parentalcontrols,103
panel_utomik*panel_startmenu2,348
panel_office-security*panel_office2019,1591
panel_themes*panel_office-try-buy,406
panel_themes*panel_HPprintCOVID,38
panel_expressVPN*panel_hp-reinventing-classrooms,7
panel_hpsa3*panel_office-try-buy,4742
panel_buyoneplantone*panel_hpsa3,11
panel_pinapps3*panel_office-security,129
panel_shortcuts*panel_lastpass,18
panel_shortcuts*panel_socialmedia,1618
panel_sprocket*panel_socialmedia,361
panel_3DPrintCOVID*panel_webbrowser3,46
panel_webbrowser3*panel_CCbestpractices,43
panel_audio-switch3*panel_startmenu2,2625
panel_gaming-expressVPN*panel_hp-reinventing-classrooms,8
panel_batterysaver*panel_lastpass,9
panel_startmenu2*panel_amazon-assistant,491
panel_tile*panel_omencc-network-boost,24
panel_nightlight*panel_parentalcontrols,130
panel_pinapps2*panel_office-security,1492
panel_office-try-buy*panel_GeneralAccessories,1358
audio-switch3*lockscreen3,1
panel_wi-fi*panel_office-security,1596
panel_3DPrintCOVID*panel_utomik,37
panel_action-center*panel_office-mobile,508
panel_office-security*panel_mcafee-emea,295
panel_instant-ink*panel_utomik,398
panel_personalizebg3*panel_carepack-nb-high,330
panel_socialmedia*panel_photos,2347
panel_amazon-assistant*panel_sprocket,205
panel_test-amazon*panel_office360cta,1
panel_lastpass*panel_batterysaver,2
panel_WFHPCSecurityCorona*panel_sprocket,26
panel_updateprofile3*panel_darkmode,139
panel_shortcuts*panel_quickaccess2,1
panel_couponpage_cons*panel_mcafee-na,26
panel_webbrowser3*panel_nightlight,164
panel_hp-reinventing-classrooms*panel_hp-reinventing-classrooms,29
panel_utomik*panel_carepack-nb-mid,131
panel_sprocket*panel_personalizebg3,414
panel_mcafee-na*panel_hp-reinventing-classrooms,390
panel_hp-reinventing-classrooms*panel_WFHPCSecurityCorona,33
panel_personalizebg3*panel_lockscreen3,3546
panel_GeneralAccessories*panel_magicdesktop,42
panel_office2019*panel_pinapps3,129
panel_hpsa3*panel_office360cta,1
panel_hp-reinventing-classrooms*panel_office-mobile,381
panel_HPrefresh*panel_hpsa3,40
panel_carepack-nb-low*panel_instant-ink,42
panel_quickaccess2*panel_hpsa2,19
panel_hp-reinventing-classrooms*panel_startmenu2,339
panel_webbrowser2*panel_audio-switch3,2451
panel_expressVPN*panel_3DPrintCOVID,5
panel_themes*panel_webbrowser3,148
panel_carepack-nb-mid*panel_startmenu3,13
panel_couponpage-smb_us*panel_office-mobile,1
panel_updateprofile3*panel_wi-fi,157
panel_photos*panel_office-security,1659
panel_audio-switch3*panel_HPrefresh,38
panel_carepack-nb-mid*panel_office-try-buy,403
panel_lastpass*panel_hp-reinventing-classrooms,8
panel_HPrefresh*panel_office-mobile,38
panel_updateprofile3*panel_shortcuts,148
panel_office365a*panel_lockscreen3,1164
panel_nightlight*panel_hp-reinventing-classrooms,31
panel_personalizebg3*panel_office2019,2403
panel_themes*panel_digitalpen,14
omencc-network-booster3*couponpage_us4,3
panel_HPrefresh*panel_WFHPCSecurityCorona,162
panel_couponpage_cons*panel_carepack-dt-opp,1
panel_office-mobile*panel_amazon-assistant,313
panel_office2019*panel_couponpage_us4,710
panel_pinapps2*panel_personalizebg3,3366
panel_batterysaver*panel_3DPrintCOVID,45
panel_hpsa3*panel_darkmode,181
panel_office360*panel_updateprofile2,3602
panel_multi-video-test*panel_multi-video-test,1
panel_batterysaver*panel_carepack-nb-low,4
panel_photos*panel_pinapps2,2502
panel_hpsa3*panel_GeneralAccessories,367
panel_couponpage_us4*panel_quickaccess2,452
panel_WFHPCSecurityCorona*panel_expressVPN,6
panel_photos*panel_couponpage-smb_us,1
panel_lastpass*panel_HPfolding,2
panel_amazon-assistant*panel_pinapps2,513
panel_startmenu3*panel_mcafee-na,34
panel_carepack-dt-mid*panel_WFHTipsCorona,1
panel_utomik*panel_parentalcontrols,34
panel_couponpage_cons*panel_updateprofile3,32
panel_setup-email4*office-mobile,1
panel_omencc-network-boost*panel_mcafee-emea,30
panel_webbrowser3*panel_tile,83
personalizebg3*omencc-network-booster3,2
panel_couponpage_cons*panel_carepack-nb-low,6
panel_gaming-lastpass*panel_lockscreen3,15
